"","pGW","bGW","zGW","hGW","cGW"
"elev",-0.894858743675357,-1.09689405288706,-1.38284080923459,-1.6662447949556,-2.19778654809763
"slp_test",1,1,1,1,1
"slope",1.10395385833568,1.12726906741187,1.21062498748508,1.25134279952974,1.56118552680955
"upper_limit",1.02483435702507,1.05016894851309,1.15082096429282,1.18373669881357,1.24954533097924
"lower_limit",1.18918156185938,1.21002963584369,1.27353681050108,1.32281005016095,1.95054968290712
"slp_p_value",0.00938067320281455,0.001014159401864,9.49018641449584e-13,1.31672450720544e-13,0.000125563553068364
"xy_r^2",0.740974205878595,0.771500095813019,0.806357306156555,0.859656244701221,0.244152240121866
"xy_corr_p_value",0,0,0,0,4.47420322533532e-05
"n",184,179,294,179,62
"from",30.3125686972797,47.9347741093838,16.7278402430593,45.2414646725576,91.3602644019436
"to",527.579373272033,297.111626632184,243.094884428529,388.243245598067,151.159852660401
