"","pGH","bGH","zGH","hGH","cGH"
"elev",-0.526993177138276,-1.11320082975817,-0.973336720141091,-1.89260248544848,-1.87737979474465
"slp_test",1,1,1,1,1
"slope",0.940495424420507,1.13737617993897,1.03940286714862,1.41978222905661,1.42602087779406
"upper_limit",0.874707670253166,1.0483889967403,0.991486492055967,1.34419123119712,1.14673621102515
"lower_limit",1.01123115005943,1.23391658889474,1.08963493591982,1.49962410939827,1.77332460975188
"slp_p_value",0.0968786934209088,0.0020898239811864,0.108176179231057,0,0.00163315075336889
"xy_r^2",0.753724313928325,0.697680187428461,0.831957897967122,0.8638241305951,0.276206186976879
"xy_corr_p_value",0,0,0,0,1.15373739146829e-05
"n",184,179,294,179,62
"from",30.7102198198436,44.3347583724537,16.7547679696315,50.8876699809093,94.5732895670631
"to",557.106891450641,340.976347740059,230.650432608538,388.253474772444,147.915504606027
