"","pGA","bGA","zGA","hGA","cGA"
"elev",-0.781494349624039,-1.83336722811804,-2.57766817558562,-3.91238496922086,-5.15826175598777
"slp_test",2,2,2,2,2
"slope",1.73608211252909,2.05219362551862,2.32649877468155,2.77823859308173,3.44799368962134
"upper_limit",1.60296453758491,1.89171242194922,2.18495404623663,2.6212562319766,2.61203761653336
"lower_limit",1.88025438540547,2.22628906368321,2.47721299123769,2.94462234783832,4.55148900169629
"slp_p_value",0.000568689909693498,0.533595555956831,3.10251155122288e-06,0,0.000140415326470356
"xy_r^2",0.762273785793467,0.776916763466135,0.831037359493537,0.882770848666062,0.296875605775616
"xy_corr_p_value",0,0,0,0,4.68220581506529e-06
"n",184,179,294,179,62
"from",24.8603697353403,42.3225400064197,17.0080842018146,49.5952233301657,96.7145587172289
"to",574.923884595881,327.864382157165,230.236618921055,384.043614782039,148.247850655749
