"","pGA","bGA","zGA","hGA","cGA"
"elev",-1.47861876175667,-2.1732649526749,-2.43040735894206,-3.59102893929257,-3.76801001007961
"slp_test",2,2,2,2,2
"slope",2.0236275266783,2.2011496508961,2.23249138029919,2.63931480568777,2.79126933097495
"upper_limit",1.8844619315374,2.05233110115332,2.12929904189376,2.50867169588888,2.25154224008889
"lower_limit",2.17307035934086,2.36075932529471,2.34068473476487,2.7767613653625,3.46037677611314
"slp_p_value",0.745577389913504,0.00752969120409486,6.86573730568352e-06,0,0.00264695286614036
"xy_r^2",0.762273785793467,0.776916763466135,0.831037359493537,0.882770848666062,0.296875605775616
"xy_corr_p_value",0,0,0,0,4.68220581506529e-06
"n",184,179,294,179,62
"from",30.173498479302,45.0608545976928,16.6429997674429,47.7427768915734,93.7623140467391
"to",541.108148983948,321.370830593474,238.490167457684,389.76099760146,150.55943877676
